time,ch1,ch2,ch3
0.0,-60.799815184335216,-50.326623066324956,-63.27860986893215
500.0,-61.98200890469379,-51.217718330462176,-63.73623199840908
1000.0,-64.73366670208014,-54.24744222852874,-66.31035647671683
1500.0,-63.61262093277459,-53.8513998889122,-65.89086952469631
2000.0,-66.54772258332002,-55.79200735303327,-66.31035647671683
2500.0,-65.46744211471649,-55.8118094700141,-67.18746555821429
3000.0,-66.07892162524679,-56.168247575668985,-66.72984342873735
3500.0,-61.10555493960036,-53.039513092698286,-65.90993711342452
4000.0,-64.59098814962307,-55.95042428887989,-67.34000626803993
4500.0,-66.60887053437305,-57.51479153036524,-68.69380506774252
5000.0,-71.23573216405231,-60.108868854853604,-69.68531968160922
5500.0,-71.6230025207215,-60.62372389635511,-72.20224139373234
6000.0,-70.68540060457505,-60.386098492585184,-71.93529515153746
6500.0,-72.35677793335786,-61.83165303218557,-71.91622756280925
7000.0,-69.44205893316344,-60.247483673719394,-72.31664692610157
7500.0,-66.26236547840588,-57.37617671149945,-70.84844259402975
8000.0,-63.97950863909277,-55.27715231153176,-70.10480663362974
8500.0,-67.24073269525437,-58.92074183600397,-71.4014026671477
9000.0,-64.99864115664326,-57.71281270017351,-71.0200508925836
9500.0,-68.89172737368617,-60.386098492585184,-72.01156550645028
10000.0,-69.48282423386546,-61.25739163974158,-73.72764849198879
10500.0,-68.545222317719,-61.09897470389496,-73.99459473418366
11000.0,-66.83307968823416,-59.83163921712202,-72.77426905557851
11500.0,-64.34639634541095,-58.70291854921487,-72.62172834575286
12000.0,-66.03815632454477,-59.55440957939044,-72.43105245847082
12500.0,-67.03690619174427,-60.306890024661875,-72.81240423303493
13000.0,-67.01652354139325,-60.40590060956601,-72.46918763592723
13500.0,-67.15920209385033,-60.22768155673857,-71.53487578824515
14000.0,-67.87259485613568,-60.12867097183443,-71.07725365876821
14500.0,-69.66626808702455,-61.336600107664886,-71.19165919113745
15000.0,-67.0980541427973,-60.168275205796085,-70.81030741657334
15500.0,-67.3018806463074,-60.08906673787278,-70.6959018842041
16000.0,-68.30063051350687,-61.37620434162655,-71.59207855442976
16500.0,-67.28149799595639,-61.059370469933306,-70.94378053767078
17000.0,-63.06228937329732,-58.683116432234044,-70.90564536021436
17500.0,-62.98075877189328,-57.47518729640358,-68.922616132481
18000.0,-65.85471247138568,-59.851441334102844,-69.9904011012605
18500.0,-66.77193173718113,-60.48510907748932,-70.23827975472717
19000.0,-68.72866617087809,-61.29699587370323,-70.08573904490153
19500.0,-67.38341124771144,-60.20787943975774,-69.24676514086049
20000.0,-66.32351342945891,-59.6732222812754,-68.69380506774252
20500.0,-65.05978910769629,-58.544501613368254,-67.72135804260404
21000.0,-71.64338517107251,-62.16828902085963,-67.6069525102348
21500.0,-66.486574632267,-59.910847685045326,-67.47347938913737
22000.0,-65.95662572314073,-59.712826515237055,-67.9311015186143
22500.0,-69.58473748562051,-62.04947631897467,-68.922616132481
23000.0,-69.58473748562051,-61.871257266147225,-68.97981889866561
23500.0,-69.68665073737556,-62.88116523216941,-69.89506315761948
24000.0,-67.3222632966584,-61.51481916049234,-68.6556698902861
24500.0,-62.16545275785288,-57.89103175300095,-66.99678967093223
